City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
118,cherskiy,RU,2022-07-05 04:03:28,68.75,161.3,71.33,38,100,14.92,overcast clouds,0.0,0
119,nador,MA,2022-07-05 04:02:13,35.174,-2.9287,77.25,65,0,4.61,clear sky,0.0,0
120,miri,MY,2022-07-05 04:03:28,4.4148,114.0089,86.95,60,93,1.86,overcast clouds,0.0,0
121,meadow lake,US,2022-07-05 04:03:29,34.8014,-106.5436,75.9,60,100,0.25,overcast clouds,0.0,0
122,luganville,VU,2022-07-05 04:03:29,-15.5333,167.1667,80.01,86,93,13.65,overcast clouds,0.0,0
123,east london,ZA,2022-07-05 04:03:30,-33.0153,27.9116,59.5,76,26,6.31,scattered clouds,0.0,0
124,bud,US,2022-07-05 04:03:30,39.447,-86.1758,84.18,74,80,7.14,broken clouds,0.0,0
125,killybegs,IE,2022-07-05 04:03:30,54.6333,-8.45,55.15,90,100,12.06,overcast clouds,0.0,0
126,woodstock,CA,2022-07-05 04:03:31,43.1334,-80.7497,71.82,74,99,4.25,overcast clouds,0.0,0
127,grand gaube,MU,2022-07-05 04:03:31,-20.0064,57.6608,71.38,67,84,7.0,broken clouds,0.0,0
128,galveston,US,2022-07-05 04:03:32,29.3669,-94.9669,84.06,87,91,1.01,overcast clouds,0.0,0
129,tual,ID,2022-07-05 04:03:32,-5.6667,132.75,79.7,76,95,20.67,overcast clouds,0.0,0
130,sisimiut,GL,2022-07-05 04:03:33,66.9395,-53.6735,44.55,93,100,4.18,overcast clouds,0.0,0
131,banda aceh,ID,2022-07-05 04:03:33,5.5577,95.3222,87.15,60,100,7.02,overcast clouds,0.0,0
132,wanganui,NZ,2022-07-05 04:03:33,-39.9333,175.05,54.59,79,100,4.0,moderate rain,0.0,0
133,albemarle,US,2022-07-05 04:03:34,35.3501,-80.2001,77.74,94,0,0.0,clear sky,0.0,0
134,morant bay,JM,2022-07-05 04:03:34,17.8815,-76.4093,79.72,87,69,9.01,broken clouds,0.0,0
135,merauke,ID,2022-07-05 04:03:35,-8.4667,140.3333,78.76,88,100,15.46,overcast clouds,0.0,0
136,ramapuram,IN,2022-07-05 04:03:35,13.1167,79.2,81.72,64,100,12.66,overcast clouds,0.0,0
137,heishan,CN,2022-07-05 04:03:36,41.6892,122.1128,83.26,72,98,14.03,overcast clouds,0.0,0
138,phuket,TH,2022-07-05 04:03:36,8.0,98.25,84.42,79,75,12.66,light rain,0.0,0
139,sao felix do xingu,BR,2022-07-05 04:03:37,-6.6447,-51.995,69.8,68,0,1.48,clear sky,0.0,0
140,thompson,CA,2022-07-05 04:00:08,55.7435,-97.8558,52.27,60,66,3.47,broken clouds,0.0,0
141,kaitangata,NZ,2022-07-05 04:03:37,-46.2817,169.8464,52.21,61,13,15.93,few clouds,0.0,0
142,katangli,RU,2022-07-05 04:03:38,51.7102,143.2326,65.32,63,14,11.92,few clouds,0.0,0
143,ilhabela,BR,2022-07-05 04:03:38,-23.7781,-45.3581,67.68,67,2,2.98,clear sky,0.0,0
144,vermillion,US,2022-07-05 04:03:38,42.7794,-96.9292,81.72,69,2,4.81,clear sky,0.0,0
145,itoman,JP,2022-07-05 04:03:39,26.1247,127.6694,88.18,77,75,13.8,broken clouds,0.0,0
146,college,US,2022-07-05 04:03:39,64.8569,-147.8028,84.0,46,75,5.75,smoke,0.0,0
147,nome,US,2022-07-05 04:03:40,64.5011,-165.4064,51.17,76,100,5.75,overcast clouds,0.0,0
148,zhongxing,CN,2022-07-05 04:03:40,33.7039,118.6792,90.16,55,100,6.85,overcast clouds,0.0,0
149,cabedelo,BR,2022-07-05 04:03:41,-6.9811,-34.8339,75.87,81,43,17.47,scattered clouds,0.0,0
150,ilulissat,GL,2022-07-05 04:03:41,69.2167,-51.1,46.42,66,21,0.0,few clouds,0.0,0
151,doha,QA,2022-07-05 04:00:59,25.2867,51.5333,89.58,62,68,2.3,broken clouds,0.0,0
