City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,buala,SB,85.01,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
409,marawi,PH,77.95,overcast clouds,7.9986,124.2928,Derogongan Residence
411,hot springs,US,83.55,clear sky,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
415,bayan,CN,84.42,broken clouds,46.0833,127.4,Wanhao Inn
420,mangrol,IN,82.18,light rain,21.1167,70.1167,Hotel The Royal Honours
423,benghazi,LY,77.4,clear sky,32.1167,20.0667,Tibesti Hotel
427,porto velho,BR,77.05,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
432,linqing,CN,83.75,overcast clouds,36.8456,115.7117,Dongfang Hotel
433,tautira,PF,77.81,light rain,-17.7333,-149.15,Pension Oaoa
438,killin,US,82.09,clear sky,33.6123,-91.7412,US Forestry Department
442,jiuquan,CN,86.92,clear sky,39.7432,98.5174,Jiuquan Hotel
446,rabaul,PG,83.39,overcast clouds,-4.1967,152.1721,Rabaul Hotel
447,nampa,US,75.31,clear sky,43.5407,-116.5635,Nampa Downtown
452,xiuyan,CN,83.5,broken clouds,40.2928,123.2744,Helin Holiday Hotel
453,fort-shevchenko,KZ,75.15,few clouds,44.5086,50.263,Oasis hotel Bautino
454,laurinburg,US,78.87,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
455,bandarbeyla,SO,81.12,broken clouds,9.4942,50.8122,JABIR HOTEL
456,kismayo,SO,76.69,broken clouds,-0.3582,42.5454,Agan-Hotel
459,lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
462,aripuana,BR,75.61,broken clouds,-9.1667,-60.6333, 
468,north platte,US,76.89,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
470,jalu,LY,76.57,clear sky,29.0331,21.5482,صاحبة الفخامة
474,makaha,US,82.31,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
476,mayo,US,75.49,clear sky,38.8876,-76.5119,Resorts Resource Group International
477,tirumullaivasal,IN,86.05,overcast clouds,11.2333,79.8333, 
480,lakatoro,VU,80.91,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
481,pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
482,rapid valley,US,75.45,few clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
484,pasni,PK,85.69,overcast clouds,25.2631,63.471,Kashmiri Hotal
486,avera,US,76.55,broken clouds,33.194,-82.5271, 
487,rome,US,80.64,broken clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
488,boyolangu,ID,84.74,light rain,-8.1181,111.8935,Yos ega cv
490,isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
495,songjianghe,CN,85.03,broken clouds,42.1859,127.479,Sijisheng Fashion Guest House
503,shimanovsk,RU,88.25,clear sky,52.0,127.7,Гостиница Домашняя
505,sohag,EG,86.25,clear sky,26.557,31.6948,Civil Registry - Sohag 1
508,gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
511,hamilton,US,80.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
513,hope,US,87.85,few clouds,33.6671,-93.5916,Best Western Hope
516,wenling,CN,84.72,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
517,inuvik,CA,82.17,few clouds,68.3499,-133.7218,Nova Inn Inuvik
518,tura,IN,87.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
526,itaituba,BR,75.11,overcast clouds,-4.2761,-55.9836,Hotel Campos
527,yangjiang,CN,86.5,heavy intensity rain,21.85,111.9667,HUALUXE Yangjiang City Center
531,komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
534,raymondville,US,83.08,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
537,oum hadjer,TD,83.28,overcast clouds,13.2954,19.6966, 
538,kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
544,safaga,EG,87.37,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
545,dharchula,IN,78.94,overcast clouds,29.85,80.5333,Mahara Hotel
546,cookeville,US,79.59,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
547,pathein,MM,84.38,overcast clouds,16.7833,94.7333,Pathein Hotel
552,ciudad bolivar,VE,78.28,scattered clouds,8.1222,-63.5497,Hotel Edi
554,bonthe,SL,75.88,broken clouds,7.5264,-12.505,Bonthe Holiday Village
558,acajutla,SV,79.34,light rain,13.5928,-89.8275,Laureles
560,nagato,JP,79.74,overcast clouds,34.3833,131.2,いそう庵
561,beidao,CN,87.58,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
562,khuzdar,PK,81.41,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
565,berbera,SO,89.28,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
566,bay-khaak,RU,76.69,scattered clouds,51.1667,94.5, 
568,katobu,ID,84.52,broken clouds,-4.9408,122.5276,La Ode Husein
570,kolokani,ML,77.56,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
571,neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
572,puerto penasco,MX,83.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
578,danshui,CN,83.43,moderate rain,22.7984,114.4672,Grand Skylight International Hotel Huizhou
585,tupik,RU,79.45,overcast clouds,54.4253,119.9327,Guest House Orkhideya
588,zhuanghe,CN,79.61,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
592,santa marta,CO,78.85,few clouds,11.2408,-74.199,Hotel La Ballena Azul
595,voh,NC,81.97,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
603,le vauclin,MQ,82.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
606,gerash,IR,89.65,scattered clouds,27.6652,54.1371,Sa'adat House Gerash
607,camargo,MX,88.21,broken clouds,27.6667,-105.1667,Hotel Santa Fe
610,sola,VU,80.55,scattered clouds,-13.8833,167.55,Leumerus Bungalows
619,tayu,ID,86.07,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
625,lalmohan,BD,85.5,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
626,goure,NE,79.02,few clouds,13.9835,10.2704, 
629,srednekolymsk,RU,79.93,overcast clouds,67.45,153.6833, 
630,terra santa,BR,76.1,broken clouds,-2.1042,-56.4869,Hotel Sarah
633,licheng,CN,82.44,moderate rain,23.2955,113.8284,Xincheng Tourism Industry
636,ranong,TH,80.83,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
638,the valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
646,huanren,CN,86.97,scattered clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
649,tukrah,LY,75.02,clear sky,32.5341,20.5791,Lagrota restaurant
650,murgab,TM,82.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
656,riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
660,labuhan,ID,86.23,broken clouds,-6.8844,112.2051,DoubleFAG
661,brokopondo,SR,76.68,very heavy rain,4.75,-55.1667,Matu Island
665,nichinan,JP,83.43,overcast clouds,31.6,131.3667,Guest House Aki
668,port blair,IN,80.62,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
671,yerofey pavlovich,RU,88.93,broken clouds,53.9667,121.9667,lounges and warm parking
674,pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
676,galle,LK,79.66,overcast clouds,6.0367,80.217,Amangalla
678,nuevo progreso,MX,81.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
681,bosaso,SO,88.61,overcast clouds,11.2842,49.1816,Red Sea Hotel
684,san matias,BO,75.42,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
687,itupiranga,BR,75.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
689,clinton,US,82.06,overcast clouds,42.587,-82.9199,River's Edge
692,namatanai,PG,84.54,light rain,-3.6667,152.4333,Seagulls Inn Namatani
695,makakilo city,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
697,san pedro,PH,88.83,light rain,14.35,121.0167,Palines Apartment and Guesthouse
699,mogadishu,SO,76.64,light rain,2.0371,45.3438,Hotel Juba
